id,screen_name,description,affliation
2962813893,RepStefanik,"Official Twitter Account for Congresswoman Elise Stefanik, proudly representing New York's 21st District.",republican
1058256326,RepChrisCollins,Proud to represent New York’s 27th Congressional District. Focused on less spending in Washington and more jobs in America. Member of @HouseCommerce,republican
17494010,SenSchumer,Official account of Senator Chuck Schumer - New York’s Senator RT≠endorsement,democrat
2955485182,SenatorRounds,U.S. Senator for South Dakota,republican
339852137,SupJaniceHahn,Proudly representing the 4th District of Los Angeles County on the Board of Supervisors.,democrat
90484508,GovChristie,Official Twitter Account of the 55th Governor of New Jersey. Husband and proud father of four.,republican
248699486,RepJeffDenham,Working for the people of California's 10th district in the U.S. House of Representatives. http://t.co/8CkNyoIDFU,republican
16583468,RepMikeHonda,Former Congressman for 17th District of California and Silicon Valley (2001-2017),democrat
235312723,DesJarlaisTN04,Republican Congressman for Tennessee's 4th Congressional District.,republican
607332953,WVGovernor,Jim Justice is the 36th Governor of the State of West Virginia. Account run by the Governor's Office. Tweets from Governor Justice signed -JJ.,democrat
21406834,SenMarkey,"Official account for Senator Edward J. Markey. National leader on energy, environment, climate, telecom. Voice for consumer protection. https://t.co/nfYWzVp6R8",democrat
194233791,GovMaryFallin,Official Twitter account of Oklahoma Governor Mary Fallin.,republican
134249298,byronNME,"#BlackLivesMatter, Philosopher, Feminist, Anarcho-Communist, Autistic, #LGBTQIA friend, Artist, Anti-Fascist, Cat dad, writer, radical",democrat
21157904,SenatorBurr,"U.S. Senator from North Carolina, Chairman of the Senate Select Committee on Intelligence",republican
2964526557,RepAlexMooney,Official account for Congressman Alex Mooney representing the 2nd district of West Virginia. Congressman Mooney serves on the House Financial Services Committee,republican
1069124515,RepLaMalfa,"Representing California's First District including Siskiyou, Shasta, Tehama, Butte, Glenn, Modoc, Lassen, Plumas, Sierra, Nevada and Placer Counties",republican
23593446,davidcicilline,Serving Rhode Island's First District in Congress. Co-Chair of DPCC. #Resist,democrat
124224165,RepFredUpton,"Husband, Dad, and proud to represent Michigan's 6th District. Chairman of the Subcommittee on Energy.",republican
16789970,SenatorReid,Former Senator from the great state of Nevada.,democrat
231510077,JoaquinCastrotx,"Texas Congressman, Member of the House Foreign Affairs and House Intelligence Committees",democrat
237348797,TGowdySC,Official account of U.S. Congressman Trey Gowdy. Representing the Fourth District of South Carolina.,republican
1045853744,RepLukeMesser,"Husband to a wonderful wife, father of three great kids, Congressman for Indiana's 6th Congressional District, lifelong Hoosier, and a die-hard #Colts fan.",republican
1071840474,RepSchneider,Proud to represent the people of Illinois's 10th Congressional District,democrat
234822928,RepBobGibbs,R-OH https://t.co/2BckMkGpZV,republican
818460870573441028,Rep_Tom_Garrett,,republican
995193054,RepDelBene,U.S. Congresswoman representing Washington's 1st Congressional District (#WA01),democrat
19929362,RepJoeBarton,I work for the people of the 6th District of Texas and am honored to represent them in Washington.,republican
15985455,GovPenceIN,This is an archive of former Indiana Governor Mike Pence's account.,republican
234797704,AustinScottGA08,I am proud to represent the 8th Congressional District of Georgia.,republican
248850174,RepMeehan,Proudly representing Pennsylvania's 7th District in the U.S. House of Representatives,republican
231592153,PhilBryantMS,A strong fiscal conservative dedicated to efficiency and accountability in government.,republican
975200486,RepThomasMassie,U.S. Representative for Kentucky's 4th District,republican
2975350155,RepMarkTakai,"Aloha!  Welcome to the official Twitter for Congressman Mark Takai (HI-01) -- husband, father, Hawaii National Guard veteran, public servant.",democrat
1074101017,SusanWBrooks,Serving the good people of Indiana’s 5th District in Congress.,republican
516880804,BettyMcCollum04,Proudly representing Minnesota's Fourth District in the United States House of Representatives.,democrat
818472418620608512,RepAlLawsonJr,"This is the official twitter account for U.S. Rep. Al Lawson, Jr., FL-5",democrat
6577802,RepTomPrice,"Former U.S. Representative for Georgia's 6th Congressional District. 

Current @HHSGov Secretary. Follow me @SecPriceMD.

This is an archived account.",republican
29201047,SenJeffMerkley,U.S. Senator from the State of Oregon. Instagram: https://t.co/pECsFBm1G1,democrat
213795411,GovWalker,"Official Twitter Account of the 45th Governor of the State of Wisconsin, Scott Walker.",republican
33537967,amyklobuchar,"U.S. Senator from Minnesota. Follows, Retweets, Replies ≠ endorsement",democrat
1058807868,RepDeSantis,The Official Twitter account for Congressman DeSantis. Proudly representing Florida's 6th District. Stay connected through Facebook at http://t.co/WKpKHHXK!,republican
18023868,MassGovernor,Official account of Governor Charlie Baker of Massachusetts.,republican
2863006655,RepLawrence,"Congresswoman for Michigan's 14th District: Detroit, Southfield, Oakland and Wayne Counties.",democrat
384913290,RepJohnYarmuth,"Official Twitter Account for Congressman John Yarmuth, representing the 3rd Congressional District of Kentucky.",democrat
198526130,RepJoePitts,Joe Pitts represents the 16th Congressional District of Pennsylvania: http://t.co/NpQGE161wQ,republican
834069080,RepDavidRouzer,Congressman from North Carolina's 7th Congressional district,republican
479872233,RepRoybalAllard,"Congresswoman Lucille Roybal-Allard, proudly representing the 40th District of California. Follow me at http://t.co/KjVfmF9CaM & http://t.co/Urj0zPAr8d.",democrat
109287731,SenatorShaheen,Proud Granite Stater serving New Hampshire in the US Senate. Former Governor. Mother & Grandmother. Frequent Flyer. Pats & Red Sox Fan. Outdoor enthusiast.,democrat
155669457,RepDavidEPrice,"I represent NC's 4th Congressional District, including parts of Orange, Wake, and Durham Counties.",democrat
37666984,nikkihaley,United States Ambassador to the United Nations,republican
2974648323,SteveKnight25,Proudly representing California's 25th Congressional District.,republican
266133081,SenDeanHeller,U.S. Senator Dean Heller,republican
236916916,RepJimRenacci,Serving my fourth term representing the great people of the 16th district of Ohio in the House of Representatives,republican
38254095,DorisMatsui,Representing California's 6th Congressional District - including the capital city of Sacramento. Member of the Energy and Commerce Committee.,democrat
19726613,SenatorCollins,"United States Senator from Maine. 

All tweets originate from the Press Office of Senator Susan Collins.",republican
18166778,Jim_Jordan,Proudly serving Ohio's beautiful fourth district.,republican
216481299,GovMarkDayton,"Check here for updates from the Office of Governor Mark Dayton, Minnesota's 40th Governor.",democrat
31801993,FrankPallone,"The official Twitter account of Congressman Frank Pallone, Jr. (D), of New Jersey's 6th district, Ranking Member of @EnergyCommerce Committee.",democrat
19028248,DavidVitter,U.S. Senator for the State of Louisiana https://t.co/7ZgsUS7JQF,republican
235217558,SenCoryGardner,Proudly serving the state of Colorado in the United States Senate. This is my official Senate Twitter account.,republican
2962923040,SenSasse,The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.,republican
824281456079933442,RepBecerra,@RepBecerra followers: Please note that the official Twitter account for California Attorney General Xavier Becerra is now @AGBecerra.,democrat
24745957,RepHankJohnson,"I fight for justice, civil rights and working people the world over.",democrat
15856366,LamarSmithTX21,"I represent the 21st District of TX in Congress and Chair the Science, Space, and Technology Committee. Join me: https://t.co/mIljMWAOmi",republican
117839957,hickforco,Colorado Governor John Hickenlooper's personal twitter account. Follow my official Governor's account @GovOfCO,democrat
1060487274,RepDougCollins,"Working for Georgia's 9th Congressional District. Pastor, Attorney, Military Chaplain. Find me @HouseJudiciary when in session, beautiful #GA09 all other times.",republican
29766367,RepSamGraves,Proudly representing Missouri's Sixth Congressional District,republican
221162525,SenToomey,Official Twitter account for Pat Toomey. Husband. Father. U.S. Senator for Pennsylvania.,republican
240427862,RepMcKinley,Proud to serve the First District of West Virginia in the U.S. House of Representatives. Member of the Energy and Commerce Committee. Staff-run account,republican
153486399,RepMarciaFudge,"I work on behalf of the people of the 11th District to create jobs, promote quality education, improve access to health care and protect civil rights for all.",democrat
819744763020775425,RepJenniffer,official account by the Congresswoman of Puerto Rico representing 3.4 million U.S. citizens in Congress @HouseSmallBiz @HouseVetAffairs @NatResources @HouseGOP,republican
2916086925,RepAdams,Congresswoman. Educator. Artist.,democrat
236899846,RepRichardHanna,"A self-made businessman, husband and father committed to representing the people of New York's 22nd Congressional District.",republican
1051127714,RepGraceMeng,"Representing NY's 6th Congressional District - Parts of West, Central and Northeast Queens.

For specific questions or concerns, please contact my office.",democrat
235271965,RepStevePearce,I represent New Mexico's 2nd Congressional District.  I am fighting to create jobs in NM and voice New Mexicans' other concerns in Washington.,republican
1074518754,SenatorBaldwin,"Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin. Tweets from Tammy are signed -TB.",democrat
15394954,boblatta,Representing #OH5. Deputy Whip. Member of @HouseCommerce Committee. Chairman of the Digital Commerce & Consumer Protection Subcommittee.,republican
248735463,RepBarbaraLee,"Progressive Democrat proudly representing the #EastBay CA-13 in Congress. Working to promote economic & racial justice, peace & human rights in the US & abroad.",democrat
2303719598,GovMattMead,Official Twitter Account of Governor Matt Mead. Wyoming's 32nd Governor. http://t.co/ffUVx18jJp,republican
1128781184,RepMurphyFL,"Rep. Patrick E. Murphy represents Martin, St. Lucie, and northern Palm Beach counties in the U.S. House of Representatives.",democrat
2861616083,USRepGaryPalmer,Proudly serving the people of Alabama's 6th Congressional District.,republican
20552026,RepPerlmutter,"Member of Congress, proudly representing the 7th District of Colorado https://t.co/wLRJaGd9rX",democrat
41533245,aguilarpete,Dad. Husband. Former pothole filling Mayor and newly elected Representative of California's 31st district. Living the dream. Personal account,democrat
1061292174,RepJeffMiller,Congressman Jeff Miller represents Florida's First Congressional District.  He serves as Chairman of the House VA Committee.,republican
933261786,PeacockPanache,Politics | LGBTQ Activism | Church/State Issues | Women's Rights | and More,democrat
432771620,RepSusanDavis,Proudly representing the 53rd Congressional District of California. Serves on Armed Services and Ed & Workforce Committees,democrat
2966570782,RepRubenGallego,Proud representative of Arizona's 7th Congressional District,democrat
2847221717,RepRatcliffe,@HouseHomeland Cybersecurity Subcommittee Chairman & former federal prosecutor on @HouseJudiciary proudly representing Texas' 4th District. RTs ≠ endorsements,republican
78445977,GerryConnolly,Proudly representing Virginia's 11th District,democrat
1243902714,JuliaBrownley26,U.S. Representative from California's 26th District.,democrat
40302336,RepJerryNadler,Representing parts of Manhattan and Brooklyn. I serve on the House Judiciary + Transportation & Infrastructure committees. Follow me at http://t.co/eAS0pRYbYu,democrat
15361570,jaredpolis,"father, entrepreneur,education policy, baseball, tech, politics, gaymer - My day job is representing the most beautiful Congressional district in the country",democrat
234141596,GovMalloyOffice,Official account of the Office of Connecticut Governor Dannel P. Malloy. Tweets are from office staff.,democrat
115676070,collinpeterson,"This is the official Twitter account for Peterson For Congress, the campaign to reelect Congressman Collin C. Peterson for the 7th District of Minnesota.",democrat
2433737761,RepHastingsFL,Congressman Alcee L. Hastings represents parts of Broward and Palm Beach counties in the U.S. House of Representatives.,democrat
818536152588238849,RepGonzalez,,democrat
16056306,JeffFlake,Senator from Arizona,republican
34340464,RandyNeugebauer,"Former U.S. Representative of the 19th District of Texas, proud husband, father and grandfather, and avid fisherman.",republican
14845376,GrahamBlog,Twitter feed for U.S. Senator Lindsey Graham of South Carolina.,republican
1404269089,MattBevin,"Christian, Husband, Father, Veteran",republican
13218102,JohnCornyn,Honored to represent the great state of Texas in the US Senate.,republican
48086014,chakafattah,"Father. Husband. 20+year Former Congressman. Fattah Neuroscience Initiative ,GEARUP, AOTC & CORE Scholars / 25 Million + Helped /More to come !",democrat
960962340,RepAndyHarrisMD,"Proud to serve the people of MD-1; Anesthesiologist; Father to Joe, Becky, Irene, Jessica, & Danny; Grandfather to Charles, Abigail, Arthur, & Andrew.",republican
14275291,RosLehtinen,Blessed to rep beautiful South Florida and the wonderful folks who live here!,republican
233949261,RepHuizenga,I serve the people of the 2nd District of Michigan. Member of Financial Services Committee. Father of 5. Visit http://t.co/Rj7T6mD76d for even more!,republican
1155335864,RepDonaldPayne,Proudly serving New Jersey's 10th Congressional District,democrat
24735461,PeteSessions,I proudly represent the people of Texas' 32nd Congressional District and serve as the Chairman of the House Committee on Rules.,republican
18909919,JimLangevin,Congressman for Rhode Island's   Second District,democrat
2696643955,RepMoolenaar,Representing Michigan's Fourth Congressional District. This is the Twitter page of the official House office.,republican
20597460,SenBillNelson,U.S. Sen. Bill Nelson is the senior senator from the state of Florida.,democrat
39525554,GovernorBentley,Governor of Alabama. Won't accept a paycheck until AL reaches Full Employment. Physician. Dad. Papa. Great people make Alabama a #GreatState Tweets by Gov- GRB,republican
234014087,RepWilson,"Former educator & state legislator; founder & chair of FL Ports Caucus; founder of 5000 Role Models Project, a dropout prevention program for boys of color",democrat
56864092,RepMikeQuigley,"#IL05 Congressman, House Appropriator, member of Intel Committee, amateur hockey player & hopeful Cubs fan http://t.co/zL9fkzy188  http://t.co/FMe57EKfsC",democrat
48117116,SteveKingIA,Representing the 4th District of Iowa #IA04,republican
172858784,timkaine,U.S. Senator from Virginia. Husband and father of 3. Avid reader and outdoorsman. Bluegrass and harmonica enthusiast.,democrat
30231573,bennydiego,🇺🇸 The power of the people is always stronger than the people in power. 📎 #Resistance ❄ Snowflakes are Beautiful ❄️ #TuckFrump 💩 #NotNormal 🎪,democrat
94492750,jbspharmd,"Human, Father, Husband, Healthcare Professional
#UniteBlue, #SinglePayer, #GetMoneyOut, #ClimateAction, #FeelTheBern, #HumanRights #BlackLivesMatter #NoDAPL",democrat
161791703,BobbyScott,"Proudly representing Virginia's 3rd Congressional District. Ranking Member, Committee on Education and the Workforce @edworkforcedems.",democrat
158398519,RepSamFarr,"Honored to serve CA's Central Coast in Congress. Returned @PeaceCorps Volunteer, amateur photographer & top Dem on House Agriculture Appropriations Subcommittee",democrat
131546062,FLGovScott,Florida's 45th Governor - My goal is to make Florida first in job creation.,republican
2933760046,RepComstock,Honored To Represent Virginia’s 10th Congressional District. Attorney • Legislator • Mom,republican
88784440,SenMikeLee,I am a United States Senator from the great state of Utah. Please help me restore constitutional leadership to Washington!,republican
240760644,RepGosar,Rep. for Arizona's 4th Congressional District. Chairman of @westerncaucus & Subcommittee on Energy & Minerals @NatResources. Dentist impersonating a politician.,republican
733672650120253440,JRutherfordFL,Congressman FL-04,republican
976969338,RepDaveJoyce,"Father, husband, and former prosecutor proudly representing #OH14",republican
787373558,RepCummings,"U.S. Representative from Maryland's 7th District, dedicated to serving and empowering the people I’m sworn to represent. RT's and Follows are not endorsements.",democrat
2891165960,GovRicketts,40th Governor of Nebraska,republican
3018670151,RepPeteAguilar,"Pete Aguilar represents CA’s 31st Congressional District. A former mayor, Rep. Aguilar is committed to strengthening the Inland Empire’s middle class.",democrat
1058717720,RepAnnieKuster,Honored to serve the people of New Hampshire’s Second District in Congress.,democrat
11651202,SteveDaines,Serving the people of Montana in the U.S. Senate.,republican
950783972,RepBera,"Ami Bera M.D., representing Sacramento County, California #CA7 in the U.S. House of Representatives.",democrat
82453460,BennieGThompson,,democrat
299883942,CongPalazzo,I proudly represent the Fourth Congressional District of Mississippi. For more information on my work in Congress please visit http://t.co/Ue63OYLp.,republican
267938462,RepZoeLofgren,"Member of Congress Proudly Representing CA's 19th Congressional District in Silicon Valley's cities of San Jose, Morgan Hill & Gilroy",democrat
1222257180,RepCardenas,Proud to represent California's 29th District - the San Fernando Valley - in U.S. Congress. Member of @HouseCommerce; Democratic Assistant Whip.,democrat
555474658,SenThadCochran,Office of U.S. Senator Thad Cochran of Mississippi.,republican
1339931490,RepRobinKelly,"Official Twitter account for Robin Kelly, U.S. Representative #IL02.",democrat
946549322,SenatorHassan,This is the official Twitter account of U.S. Senator Maggie Hassan of New Hampshire.,democrat
22669526,RepGwenMoore,"Proudly representing Wisconsin’s 4th Congressional District; mother, grandmother; loves poetry, reading, knitting and crocheting.",democrat
111635527,RepGeneGreen,Proudly serving the 29th Congressional District of Texas in Houston & East Harris County since 1993; Proud father of 2 & grandfather of 4; Texans & Astros fan,democrat
2966758114,RepRussell,Proudly serving the Fifth District of Oklahoma in Congress.,republican
34308692,GovJayNixon,"Missouri’s 55th Governor, lawyer, husband, and father.  Eternal optimist, sports fan, relentless booster for the outdoors and all things #Missouri",democrat
210926192,RepCuellar,Serving the 28th District of Texas in U.S. House of Representatives,democrat
20217019,dougducey,Governor of Arizona,republican
24913074,RepSpeier,"Represents California's 14th Congressional District. House Armed Services Committee, House Permanent Select Committee on Intelligence. https://t.co/gGH33BRdP5",democrat
20467163,VernBuchanan,U.S. Congressman,republican
88806753,RepGaramendi,"Congressman for California's 3rd Congressional District, former Lieutenant Governor, Insurance Commissioner, Deputy Interior Secretary, state legislator",democrat
584012853,RepDLamborn,"Republican Congressman for Colorado's 5th Congressional District. For regular email updates, sign-up at https://t.co/aVNY6LkLMd",republican
212262370,SenDanCoats,Former U.S. Senator of Indiana,republican
404132211,RepRickLarsen,"Born and raised in Arlington, Wash.
Ranking Member, Aviation Subcommittee",democrat
26778110,RepWalterJones,Congressman Walter B. Jones represents the Third Congressional District of North Carolina #NC03,republican
108376246,LorettaSanchez,,democrat
339822881,McConnellPress,The Kentucky press office for Senator Mitch McConnell. For more information please visit his website:,republican
15600527,RepShimkus,I represent the 15th Congressional District of Illinois and Chair the @HouseCommerce Environment Subcommittee.,republican
233737858,SenRonJohnson,Chairman of the Homeland Security and Governmental Affairs Committee & the Subcommittee on Europe & Regional Security Cooperation. Tweets from Ron are signed–rj,republican
278145569,MarshaBlackburn,I am honored to serve the people of Tennessee's 7th District.,republican
1058520120,SenDuckworth,"Official Twitter account for Tammy Duckworth's Senate office. Posts by staff unless signed - TD. For more information, visit",democrat
19658173,RepLynnJenkins,Proud to represent the 2nd District of Kansas | CPA,republican
1531521632,RepBeatty,"Official Twitter account for Congresswoman Joyce Beatty, representing Ohio's Third Congressional District in the U.S. House of Representatives.",democrat
161411080,gracenapolitano,Congresswoman from California's 32nd Congressional District in the US House of Representatives,democrat
263815367,DelegateDonna,Retired from Congress after 9 terms; 1st female physician in Congress;1st female to represent an offshore Territory; chaired CBC Health Braintrust for 16 yrs,democrat
41417564,RepSmucker,Representing the people of PA-16 in the U.S. House of Representatives. Husband & father.,republican
2966205003,RepMarkWalker,Member of the U.S. Congress & Chairman of the @RepublicanStudy Committee. Proudly representing the 6th District of North Carolina.,republican
18967498,CongressmanGT,I have the distinct honor and privilege to represent and serve the citizens of Pennsylvania's 5th Congressional District. #PA05,republican
42337890,Scotttaylorva,"Dad, Warrior Diplomat, U.S. Congressman VA-02, former Virginia House of Delegates. Author of Trust Betrayed, Navy SEAL, Iraq war.",republican
30216513,BradSherman,Proudly serving California's San Fernando Valley in the U.S. Congress. Admission: Some tweets are prepared by my staff on my behalf. RTs are not an endorsement.,democrat
23712174,GreggHarper,Devoted husband. Loving father. Principled conservative.,republican
23124635,TomColeOK04,Proud to represent the Fourth District of Oklahoma in the U.S. House of Representatives. Staff moderated unless signed by me. -TC,republican
47798449,RepMimiWalters,"Wife, mother of 4 awesome children, and U.S. Congresswoman proudly serving #CA45.",republican
247334603,SenatorDurbin,Serving the people of Illinois. Senate Democratic Whip. Follows/RTs do not equal an endorsement.,democrat
817076257770835968,RepEspaillat,U. S. Representative proudly serving New York’s 13th Congressional District. Follow my work in Washington and #NY13,democrat
2970279814,RepDebDingell,"Proudly serving the people of Michigan's 12th Congressional District.
http://t.co/e7qwdRk0zg
http://t.co/q9q7Jj0s26",democrat
117501995,SenatorCantwell,"U.S. Senator from Washington State | Tweets from Maria are signed –MC | Facebook:https://t.co/qLmMk10nJI
RT≠endorsement",democrat
3143431748,CantwellPress,This open twitter account for your most wanted porn material film star.,democrat
33655490,RepDennisRoss,"Husband, Father, and Conservative Republican Congressman serving Florida's 15th Congressional District. https://t.co/IXwSnVOJw5",republican
960696949,RepGarrett,"Representing #NJ05.  Fighting for the Constitution, to control spending, and expand liberty and opportunity.",republican
1382011333,USRepRodney,Proudly serving the 11th Congressional District of New Jersey in the U.S. House of Representatives.,republican
462143773,RepCicilline,Tweets from the press office of Congressman David N. Cicilline (D-RI).,democrat
1061385474,RepLujanGrisham,"Proudly serving New Mexico's 1st Congressional District. Serving on House Agriculture, Budget and Oversight & Government Reform Committees.",democrat
240363117,RepTomMarino,Proud to serve citizens of PA-10. Member on @HouseForeign @HouseHomeland @HouseJudiciary & Vice President of @NATO Parliamentary Assembly,republican
21269970,RoyBlunt,Official account of U.S. Senator Roy Blunt. Honored to represent the great state of Missouri.,republican
3122099613,DonaldNorcross,Representing New Jersey's 1st Congressional District in the United States House of Representatives,democrat
817138492614524928,RepTedBudd,Proudly serving the 13th district of North Carolina. #NC13,republican
113036476,onetoughnerd,48th Governor of Michigan. Self-proclaimed nerd. The nation's token-CPA governor.  Working hard to reinvent Michigan through Relentless Positive Action.,republican
30354991,KamalaHarris,"Senator for California. Former CA Attorney General. Dedicated to fighting for justice & giving voice to the voiceless. Wife, s-mom, sister, aunt. Aspiring chef.",democrat
242926427,HerreraBeutler,"I'm proud to have grown up in SW WA, and honored to represent this wonderful region in the US Congress. Want regular email updates? http://t.co/sZutp93Fhg",republican
2916915026,GovHawaii,"The official Twitter account of Hawaii's Governor David Ige. Updated by staff. To contact our office, visit https://t.co/BMCpRNf9kG",democrat
3317799825,RepTrentKelly,Proudly serving Mississippi's First Congressional District in the U.S. House of Representatives,republican
26424123,RepMcCaul,News from Congressman Michael McCaul (R-TX 10) and his Press Office,republican
15808765,CoryBooker,U.S. Senator from New Jersey,democrat
747806211983179776,RepMikeCapuano,Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84,democrat
1058051748,TXRandy14,Representative for the 14th Congressional District of Texas.  http://t.co/3YiUH4dPNE | Instagram: TXRandy14,republican
234812598,RepLarryBucshon,Congressman representing Hoosiers from #IN08. Doctor. Member of @HouseCommerce. https://t.co/4eq38gWLlg,republican
240812994,RepYvetteClarke,"U.S. Rep. serving NY's 9th Congressional district. Chair, Multicultural Media Caucus; Co-Chair, Black Women & Girls Caucus; Co-Chair, Caribbean Caucus.",democrat
1072467470,RepSeanMaloney,Proud to represent New York's 18th Congressional District,democrat
1071402577,SenatorFischer,U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington,republican
322013313,LuisGutierrez,"Political account of Luis V. Gutierrez, Member of Congress from Illinois, immigration reform leader in the House, and author of Still Dreaming.",democrat
50452197,RepJohnLarson,Member of Congress representing the First Congressional District of Connecticut.,democrat
18915145,senrobportman,United States Senator from the Buckeye State.,republican
33563161,RepJoseSerrano,"Congressman representing the South Bronx, New York.",democrat
20545793,RepSchrader,Proudly representing Oregon's 5th Congressional District,democrat
37007274,repdonyoung,"Merchant Marine, Teacher, State Rep, State Senator and finally Congressman for all Alaska for the last 42 years.",republican
193794406,SenCapito,Proudly serving West Virginia in the United States Senate.,republican
89193992,govsambrownback,Official Twitter page for Kansas Governor Sam Brownback. Tweets from the Governor are signed -SDB. #ksleg,republican
232992031,USRepKeating,Welcome to the official Twitter page of Congressman Bill Keating!,democrat
112740986,RepRonKind,Member of the U.S. House of Representatives from Wisconsin's Third Congressional District.,democrat
1096059529,SenatorRisch,United States Senator Jim Risch (R-ID),republican
993153006,RodneyDavis,Proudly representing the 13th Congressional District of Illinois.,republican
1260172386,RepJuanVargas,"Official Twitter account of Rep. Vargas, representing southern San Diego County, all of Imperial County and California's entire US/Mexico border. #CA51",democrat
816683274076614656,SenJohnKennedy,The official Twitter page for U.S. Senator John N. Kennedy (R-La) https://t.co/4ceoNzx1Ck,republican
15764644,NancyPelosi,"Democratic Leader, focused on strengthening America's middle class and creating jobs; mother, grandmother, dark chocolate connoisseur.",democrat
161743731,RepKayGranger,Congresswoman Kay Granger represents the 12th District of Texas. She is the Chairwoman of the House Appropriations Defense Subcommittee.,republican
137823987,BlumenauerMedia,Rep. Earl Blumenauer (OR-03) congressional account. Tweets are by staff.,democrat
14135426,keithellison,"Member of Congress from Minnesota's Fifth District. Co-Chair, @USProgressives. Host of We The Podcast. Subscribe here: https://t.co/NSnxwreA3H",democrat
2856787757,SenJoniErnst,Follow for news and updates from the Office of Iowa Senator Joni K. Ernst. Tweets from Joni are signed JKE.,republican
1055685948,USRepRickNolan,"This is the official Twitter account for U.S Congressman Rick Nolan, proudly serving the people of Minnesota's 8th Congressional District.",democrat
233761277,CongHuelskamp,Real Conservative: represented Kansas' First District in the U.S. House.,republican
1074412920,RepPaulCook,Twenty-six year retired @USMC Colonel serving as a United States Congressman from California's 8th Congressional District. Join the conversation #CA08 #Semperfi,republican
13491312,RepTimRyan,"Congressman Tim Ryan, proudly serving Ohio's 13th District in the United States Congress",democrat
1072382221,RepMattSalmon,Proudly representing the 5th District of #AZ in Congress #AZ05 Visit my page at https://t.co/eZcoayceBJ,republican
22545491,KenCalvert,Official Twitter Account for U.S. Representative Ken Calvert (CA-42),republican
21111098,SenShelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,republican
18632666,JerryMoran,Proud to represent Kansans in the United States Senate,republican
